PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Qualifier^STRING^^^^,2^EC50^FLOAT^uM^^^,3^LogEC50^FLOAT^^^^,4^Hill Slope^FLOAT^^^^,5^Hill S0^FLOAT^^^^,6^Hill Sinf^FLOAT^^^^,7^Hill dS^FLOAT^^^^,8^Chi Square^FLOAT^^^^,9^Rsquare^FLOAT^^^^,10^N DataPoints^INT^^^^,11^Activation at 95.1 uM^FLOAT^%^^^,12^Activation at 31.7 uM^FLOAT^%^^^,13^Activation at 10.6 uM^FLOAT^%^^^,14^Activation at 3.5 uM^FLOAT^%^^^,15^Activation at 1.2 uM^FLOAT^%^^^,16^Activation at 391.3 nM^FLOAT^%^^^,17^Activation at 130.4 nM^FLOAT^%^^^,18^Activation at 43.5 nM^FLOAT^%^^^,19^Activation at 14.5 nM^FLOAT^%^^^,20^Activation at 4.8 nM^FLOAT^%^^^
842247,644507,Inactive,25,,,=,17.58,-4.75,2.02,-19.1,81.15,100.25,-51.32,0.94,30,50.7,71.9,31.3,-3.8,-6.3,-22.4,-19.4,-19.7,-19,-25
842357,5781107,Active,44,,,=,4.615,-5.34,1.1,-6.8,115.09,121.88,502.63,0.99,20,105.2,93.7,76.6,39.3,16.9,-2.1,-7.8,-1.6,-11.7,-2.7
842446,644711,Active,56,,,=,2.107,-5.68,0.97,-17.67,125.82,143.49,-52.03,0.99,30,105.9,99.5,89.1,68,30.8,-1.2,3,-15.8,-12.1,-25.8
842742,645017,Active,52,,,=,2.807,-5.55,1.21,-14.79,111.87,126.66,-64.59,0.99,30,93.4,93.9,85.6,56.4,19.2,1,-10.5,-9.5,-16.3,-19.2
842752,645027,Inactive,29,,,=,13.59,-4.87,0.63,-6.9,152.53,159.42,-64.07,0.99,30,95.2,70.7,43.7,23.9,10.4,3.1,-6,0.8,-7.5,-7.1
842935,645206,Inactive,21,,,=,23.12,-4.64,1.07,-6.66,96.63,103.29,-115.17,0.97,20,76.1,59.7,28.3,8.6,-3.2,-0.2,3,-2.3,-16.5,-12.6
842939,645210,Active,74,,,=,0.631,-6.2,0.45,-38.91,155.31,194.23,39.84,0.99,30,109.9,93.4,89.4,75.4,59,45.3,29,-1.7,-12.1,-14
842972,5523429,Active,37,,,=,7.478,-5.13,1.02,-22.55,113.59,136.14,-54,0.97,30,85,78.3,62.3,24.2,2.4,-10.1,-18.8,-20.6,-25.6,-22.7
843471,645766,Inactive,27,,,=,14.84,-4.83,2.25,-6.73,74.15,80.89,-31.3,0.98,30,64.1,67.3,36.5,3.1,-4.8,-10.8,-8.7,-4.2,-4.4,-7.7
843577,645879,Active,36,,,=,8.29,-5.08,1.29,-3.26,113.85,117.12,-236.22,0.96,30,99.6,101.6,52,23,10.6,3.7,-14,-3.4,-3.9,-0.7
843813,646118,Active,35,,,=,9.095,-5.04,1.06,-18.53,156.56,175.09,-97.23,0.98,30,118.8,106.6,51.1,11.6,4.3,-13.7,-11.1,-24.3,-21.2,-21
843901,646210,Inactive,23,,,=,20.43,-4.69,1.29,-18.39,87.96,106.34,-7.53,0.98,20,65.7,58,34.5,3.6,-10.4,-15.5,-13.8,-19.6,-16.2,-24.6
843912,5770889,Active,68,,,=,0.908,-6.04,1.67,-6.25,106.67,112.92,-2234.18,0.96,30,101.8,103.1,98.7,85.4,62.6,21,-18.3,1.4,-1.8,-5
843954,646260,Inactive,24,,,=,18.69,-4.73,1.7,-17.02,85.6,102.62,-24.06,0.96,20,59.8,71,26.6,-0.1,-6,-17.6,-21.5,-18.8,-15.2,-19.7
844118,646427,Inactive,16,,,=,32.15,-4.49,1.02,-12.92,252.24,265.16,-62.52,0.98,20,113.2,49.7,9.9,-1.5,-9.2,-21.9,-5.7,-7.1,-12.1,-18.9
844444,646770,Active,50,,,=,3.115,-5.51,0.92,-16.71,123.09,139.81,51.01,0.99,30,100.8,97.3,77.9,57.7,16.9,5.1,-7.8,-13,-14,-20.8
844482,6603129,Active,46,,,=,4.271,-5.37,1.07,-10.67,136.15,146.82,-35.57,0.99,20,117.8,110.4,81.8,41.6,13.1,-4,-2,-6.4,-15.5,-13.5
844975,647315,Active,69,,,=,0.879,-6.06,1.04,-15.65,125.59,141.24,32.71,1,19,-10.5,107,100.3,88.4,58.6,26.4,-1.5,-9.1,-17,-11.8
845167,647501,Active,46,,,=,4.287,-5.37,4.21,-22.05,130.08,152.13,13.67,0.99,20,107.8,108.9,105,23.8,-23.8,-19.4,-22.3,-21.8,-25.9,-18.5
845241,647581,Inactive,5,,,=,66.49,-4.18,1.14,-7.03,97.67,104.7,-62.02,0.97,27,59.1,30.5,5.5,7.9,-4.7,-3.6,-5.2,-5.4,-7.6,-9.4
845300,91378,Inactive,31,,,=,11.95,-4.92,1.2,-10.7,145.88,156.57,-128.28,0.98,30,120.3,90.4,43.9,14.6,-11,-9.4,-15.8,-15,-7.7,-0.5
845357,647700,Active,44,,,=,4.856,-5.31,0.92,-5.78,140.8,146.59,-67.79,0.99,30,119.1,110.8,73.4,36.2,18.4,7.2,-4,-4.1,-8.2,-6.1
845395,647738,Inactive,25,,,=,17.89,-4.75,1.1,-14.23,146.23,160.46,-14.95,0.99,30,106.6,75.2,27.3,2.9,-4.1,-13.6,-12.9,-16.6,-10.6,-18.7
845406,647748,Inactive,27,,,=,15.16,-4.82,3.2,-10.36,130.69,141.05,-171.53,0.97,20,119.5,107.9,16.9,-3.6,-7.5,-29.3,-11.9,-2.8,-4.4,-11.6
845529,647878,Active,49,,,=,3.314,-5.48,3.84,-24.85,145.9,170.75,-20.33,0.99,30,124.4,118.9,118.2,58.6,-22.6,-29.9,-21.8,-27.1,-20.7,-24.2
